neta	私は、子どもの頃おじいちゃんと一緒に住んでいたのですが、ある日近所の山の中におじいちゃんらしき人が入っていくのが見えて、気になって追いかけようとしたら、行き止まりになってすぐに見失ってしまいました。 引き返そうとしたら、おじいちゃんが私を呼ぶ声が聞こえて怖くなって走って帰りました。家に帰ったら普通におじいちゃんがテレビを見ててホッとしました。 その3日後、おじいちゃんは急死し、あの時おじいちゃんを見かけた山の近くにお墓が作られました。
other	こわ
neta	5chかなんかで読んだけど、登山して道に迷ってたら、男の人に声かけられて、一緒に下山しようと言われて付いて行ったけど、どう考えても山を登って行ってて、どんどん道のない山奥に連れて行かれたから、怖くなって逃げたらたまたま人のいそうな集落みたいなところについて、ホッとしてたら、山の中からさっきの男の人が睨んでたってやつ
other	こわ
neta	富士山に登頂して、山小屋で友達と撮影した写真に沢山の電球色の光の塊が飛び交ってる写真が撮れた。(ちなみに写ルンですだった) メーカーやカメラ店に問い合わせても「分からない」と言われ、ならばと当時TVに出てた江原さんに取り上げて貰ったら「山にいる自然霊だから自然なものです」と何だかよく分からない返事をされた事を覚えてる。 【閲覧注意】山に関する不思議、怖い体験
other	ワロタ
neta	山の中の集落に元カレが住んでいました。結局、未だに毎週のように集まる青年団、 夏祭りやなにかの行事ごとには集落全体が集まり、そのなかでランク付けもされます。昔したことでずーっと後ろ指を指されることもしばしば（でも、集まりには強制参加）そこから逃げ出したいと同じ町内の先輩は嫁さんの実家同居をしましたが事故死しました。その集落からはなれようとするものには何かしら不幸事が起こっているきがする。 （今は、別れて他の人と結婚しました。元カレは若いのに狭心症になったと聞きました。元カレ母も精神患ってたし心いたいけど別れてよかった）
other	そのおじいちゃんは山のベテランですね。 山道をショートカットしたのですよ。
neta	友達とアケビを取りに行ったら、お腹を食いとられた小鹿の死体を見つけた 怖くなってすぐに家に戻って御近所の消防団の団長してるオジさんに報告した オジさんすぐにもう1人の人を呼んで私たちが小鹿を見た方へ入って行った 絶対熊だと思ったんだけど、後で聞いたら熊じゃないみたいだった いったい何にやられたんだろう？未だに気になる
other	怖いけど好きなトピ…
